"SetName","Target","Kp","Ki","Trim","Enable","Samples","MeanVx","Mae","Std","Overshoot","Score"
"p20_i0_t12","-2.5","20","0","12","1","59","-2.4378813559322","0.0658135593220339","0.0531888495851841","0.036","0.0828730018012931"
"p20_i0_t12","-2","20","0","12","1","60","-1.96105","0.0453166666666666","0.0438920740756992","0.0339999999999998","0.0611112703704515"
"p20_i0_t12","-1.5","20","0","12","1","60","-1.46981666666667","0.0359833333333333","0.0339084510934303","0.05","0.0576787558880049"
"p20_i0_t12","-1","20","0","12","1","60","-0.9713","0.0341333333333333","0.0310205845635872","0.03","0.0476843625615127"
"p20_i0_t12","-0.5","20","0","12","1","60","-0.491766666666667","0.02","0.0269742881689624","0.043","0.0385487144084481"
"p20_i0_t12","0.5","20","0","12","1","60","0.49335","0.0219166666666667","0.0259209214085199","0.037","0.0380127127370927"
"p20_i0_t12","1","20","0","12","1","60","0.972766666666666","0.0309666666666667","0.025626396980891","0.0249999999999999","0.0422479865157112"
"p20_i0_t12","1.5","20","0","12","1","61","1.43793442622951","0.0621967213114754","0.0349401684628419","0.004","0.0655437297346175"
"p20_i0_t12","2","20","0","12","1","60","1.92875","0.07145","0.0470310624304122","0.004","0.0754015531215206"
"p20_i0_t12","2.5","20","0","12","1","60","2.44145","0.06515","0.0653746701712521","0.0339999999999998","0.0820187335085625"
"p22_i0_t12","-2.5","22","0","12","1","61","-2.3977868852459","0.120311475409836","0.317950770225549","0.134","0.189809013921113"
"p22_i0_t12","-2","22","0","12","1","60","-1.96728333333333","0.04105","0.0439340762456155","0.0579999999999998","0.0664467038122807"
"p22_i0_t12","-1.5","22","0","12","1","60","-1.47233333333333","0.0348","0.0337918464853416","0.054","0.0580895923242671"
"p22_i0_t12","-1","22","0","12","1","60","-0.976083333333333","0.0289833333333333","0.025090696593669","0.0589999999999999","0.0538378681630168"
"p22_i0_t12","-0.5","22","0","12","1","60","-0.4766","0.1093","0.175871468218507","0.285","0.232093573410925"
"p22_i0_t12","0.5","22","0","12","1","60","0.49115","0.0268833333333334","0.0319112440998467","0.077","0.0592788955383257"
"p22_i0_t12","1","22","0","12","1","61","0.97527868852459","0.0288524590163934","0.0259192511197353","0.044","0.0477484215723802"
"p22_i0_t12","1.5","22","0","12","1","60","1.44278333333333","0.0572166666666667","0.0391535829210502","0","0.0591743458127192"
"p22_i0_t12","2","22","0","12","1","60","1.94151666666667","0.0604833333333333","0.0476369925116559","0.0329999999999999","0.0760651829589161"
"p22_i0_t12","2.5","22","0","12","1","60","2.4501","0.0570666666666666","0.0650337604633163","0.0219999999999998","0.0691183546898324"
"p24_i0_t12","-2.5","24","0","12","1","61","-2.45850819672131","0.0666393442622951","0.0822231316323862","0.163","0.135950500843914"
"p24_i0_t12","-2","24","0","12","1","60","-1.9673","0.0427333333333333","0.0450245488594833","0.0470000000000002","0.0637845607763075"
"p24_i0_t12","-1.5","24","0","12","1","60","-1.47653333333333","0.0306666666666667","0.0309550570271734","0.036","0.0466144195180253"
"p24_i0_t12","-1","24","0","12","1","61","-0.977459016393443","0.0266393442622951","0.0238578947104753","0.0189999999999999","0.0354322389978188"
"p24_i0_t12","-0.5","24","0","12","1","60","-0.498216666666666","0.0383833333333334","0.0563495316947907","0.134","0.0948008099180729"
"p24_i0_t12","0.5","24","0","12","1","60","0.496133333333333","0.0244666666666667","0.0362304966690893","0.133","0.0794781915001212"
"p24_i0_t12","1","24","0","12","1","60","0.979783333333333","0.02555","0.0239507074820117","0.032","0.0395475353741006"
"p24_i0_t12","1.5","24","0","12","1","60","1.44453333333333","0.0559333333333333","0.0389954983156888","0.00800000000000001","0.0610831082491178"
"p24_i0_t12","2","24","0","12","1","60","1.94581666666667","0.0542833333333333","0.0475427848247122","0.00199999999999978","0.0574604725745688"
"p24_i0_t12","2.5","24","0","12","1","60","2.46058333333333","0.0597833333333333","0.0701838755619044","0.0600000000000001","0.0872925271114285"
