"SetName","Target","Kp","Ki","Trim","Enable","Samples","MeanVx","Mae","Std","Overshoot","Score"
"openloop","0.5","10","3","12","0","34","0.447411764705883","0.0525882352941177","0.0128248785043181","0","0.0532294792193336"
"openloop","1","10","3","12","0","34","0.904588235294118","0.0954117647058823","0.0203023001407097","0","0.0964268797129178"
"openloop","2","10","3","12","0","34","1.713","0.287","0.0547292802588071","0","0.289736464012941"
"p8_i0_t12","0.5","8","0","12","1","35","0.4566","0.0434","0.020927357351426","0","0.0444463678675713"
"p8_i0_t12","1","8","0","12","1","34","0.934882352941177","0.0651176470588235","0.0253223508641515","0","0.0663837646020311"
"p8_i0_t12","2","8","0","12","1","34","1.83791176470588","0.162088235294118","0.0490332226191102","0","0.164539896425073"
"p12_i0_t12","0.5","12","0","12","1","34","0.470117647058824","0.0330588235294118","0.0230354773771476","0.03","0.0462105973982692"
"p12_i0_t12","1","12","0","12","1","34","0.946147058823529","0.0538529411764706","0.027134883510238","0","0.0552096853519825"
"p12_i0_t12","2","12","0","12","1","34","1.86232352941176","0.137676470588235","0.0482497915803089","0","0.140088960167251"
"p16_i1_t16","0.5","16","1","16","1","35","0.428485714285714","0.140085714285714","0.197287950747642","0.227","0.240750111823096"
"p16_i1_t16","1","16","1","16","1","34","0.965647058823529","0.0351764705882353","0.0221968232397728","0.014","0.041886311750224"
"p16_i1_t16","2","16","1","16","1","35","1.39211428571429","0.607885714285714","0.0397914358543008","0","0.609875286078429"
"p20_i1_t20","0.5","20","1","20","1","34","0.474088235294118","0.0373235294117647","0.055655118493566","0.194","0.117706285336443"
"p20_i1_t20","1","20","1","20","1","34","0.965794117647059","0.0366764705882353","0.0260008816725677","0.0209999999999999","0.0463765146718636"
"p20_i1_t20","2","20","1","20","1","34","1.35067647058824","0.649323529411765","0.0381272795563332","0","0.651229893389581"
"p24_i2_t24","0.5","24","2","24","1","34","0.469735294117647","0.0730882352941177","0.0915032332516274","0.228","0.168863396956699"
"p24_i2_t24","1","24","2","24","1","34","0.968911764705882","0.0353235294117647","0.0306636090572396","0.026","0.0472567098646267"
"p24_i2_t24","2","24","2","24","1","34","1.34614705882353","0.653852941176471","0.0358404408068851","0","0.655644963216815"
