time_ms,set,target_mps,kp,ki,trim_us,enable,vx_mps,vy_mps,vz_rad_s,battery_v,frame_hex
2627,p12_i0_t12,1.000,12.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2679,p12_i0_t12,1.000,12.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2726,p12_i0_t12,1.000,12.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2775,p12_i0_t12,1.000,12.0,0.0,12,1,0.000,0.000,0.000,12.055,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 42 7D
2823,p12_i0_t12,1.000,12.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2875,p12_i0_t12,1.000,12.0,0.0,12,1,0.006,0.000,0.000,12.064,7B 01 00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 73 7D
2925,p12_i0_t12,1.000,12.0,0.0,12,1,0.006,0.000,0.000,12.064,7B 01 00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 73 7D
2974,p12_i0_t12,1.000,12.0,0.0,12,1,0.810,0.000,0.000,12.064,7B 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 5C 7D
3027,p12_i0_t12,1.000,12.0,0.0,12,1,0.810,0.000,0.000,12.064,7B 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 5C 7D
3077,p12_i0_t12,1.000,12.0,0.0,12,1,1.057,0.000,0.000,12.064,7B 01 04 21 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 50 7D
3126,p12_i0_t12,1.000,12.0,0.0,12,1,1.042,0.000,0.000,12.064,7B 01 04 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 63 7D
3183,p12_i0_t12,1.000,12.0,0.0,12,1,1.042,0.000,0.000,12.064,7B 01 04 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 63 7D
3223,p12_i0_t12,1.000,12.0,0.0,12,1,0.939,0.000,0.000,12.064,7B 01 03 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 DD 7D
3279,p12_i0_t12,1.000,12.0,0.0,12,1,0.945,0.000,0.000,12.064,7B 01 03 B1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 C7 7D
3324,p12_i0_t12,1.000,12.0,0.0,12,1,0.945,0.000,0.000,12.064,7B 01 03 B1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 C7 7D
3377,p12_i0_t12,1.000,12.0,0.0,12,1,0.919,0.000,0.000,12.064,7B 01 03 97 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 E1 7D
3427,p12_i0_t12,1.000,12.0,0.0,12,1,0.966,0.000,0.000,12.064,7B 01 03 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B0 7D
3478,p12_i0_t12,1.000,12.0,0.0,12,1,0.966,0.000,0.000,12.064,7B 01 03 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B0 7D
3529,p12_i0_t12,1.000,12.0,0.0,12,1,0.927,0.000,0.000,12.064,7B 01 03 9F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 E9 7D
3575,p12_i0_t12,1.000,12.0,0.0,12,1,0.955,0.000,0.000,12.064,7B 01 03 BB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CD 7D
3627,p12_i0_t12,1.000,12.0,0.0,12,1,0.955,0.000,0.000,12.064,7B 01 03 BB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CD 7D
3676,p12_i0_t12,1.000,12.0,0.0,12,1,0.955,0.000,0.000,12.064,7B 01 03 BB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CD 7D
