"SetName","Target","Kp","Ki","Trim","Enable","Samples","MeanVx","Mae","Std","Overshoot","Score"
"p12_i0_t12","1","12","0","12","1","77","0.938220779220779","0.0617792207792208","0.0234286002245914","0","0.0629506507904503"
"p12_i0_t12","2","12","0","12","1","76","1.84347368421053","0.156526315789474","0.217723114461091","0","0.167412471512528"
"p12_i0_t12","3","12","0","12","1","77","2.8241038961039","0.175896103896104","0.0667794556664405","0","0.179235076679426"
"p14_i0_t12","1","14","0","12","1","75","0.950386666666666","0.0499333333333334","0.0275936675505248","0.00600000000000001","0.0537130167108596"
"p14_i0_t12","2","14","0","12","1","76","1.84313157894737","0.157763157894737","0.307475730411757","0.0339999999999998","0.186736944415325"
"p14_i0_t12","3","14","0","12","1","76","2.84873684210526","0.151263157894737","0.0650296224850953","0","0.154514639018992"
"p16_i0_t12","1","16","0","12","1","76","0.960184210526316","0.0406842105263158","0.0241441452673836","0.0149999999999999","0.047891417789685"
"p16_i0_t12","2","16","0","12","1","76","1.89689473684211","0.103105263157895","0.0470161167628406","0","0.105456068996037"
"p16_i0_t12","3","16","0","12","1","76","2.87607894736842","0.123921052631579","0.0666836133816158","0","0.12725523330066"
"p18_i0_t12","1","18","0","12","1","76","0.964815789473684","0.0362631578947368","0.0255969316244595","0.016","0.0439430044759598"
"p18_i0_t12","2","18","0","12","1","76","1.91432894736842","0.085671052631579","0.0444916870289433","0","0.0878956369830261"
"p18_i0_t12","3","18","0","12","1","76","2.87948684210526","0.120513157894737","0.064954334854138","0","0.123760874637444"
"p20_i0_t12","1","20","0","12","1","76","0.971855263157895","0.0304078947368421","0.0235096306958885","0.0269999999999999","0.0423833762716365"
"p20_i0_t12","2","20","0","12","1","76","1.92361842105263","0.0763815789473684","0.0478379851013769","0","0.0787734782024373"
"p20_i0_t12","3","20","0","12","1","76","2.85546052631579","0.144539473684211","0.336930667582542","0","0.161386007063338"
