"SetName","Target","Kp","Ki","Trim","Enable","Samples","MeanVx","Mae","Std","Overshoot","Score"
"p18_i0_t12","-2.5","18","0","12","1","66","-2.37863636363636","0.121363636363636","0.298375279074079","0","0.13628240031734"
"p18_i0_t12","-2","18","0","12","1","66","-1.94509090909091","0.0555454545454545","0.0382902500734679","0.00599999999999978","0.0598599670491278"
"p18_i0_t12","-1.5","18","0","12","1","66","-1.45159090909091","0.0501969696969697","0.0346480036911164","0.0289999999999999","0.0635293698815255"
"p18_i0_t12","-1","18","0","12","1","66","-0.963560606060606","0.0367424242424243","0.0218764636136362","0.0069999999999999","0.040636247423106"
"p18_i0_t12","-0.5","18","0","12","1","66","-0.469212121212121","0.0880909090909091","0.14851451466169","0.304","0.217116634823994"
"p18_i0_t12","0.5","18","0","12","1","66","0.494303030303031","0.0166969696969697","0.01950910408841","0.034","0.0312724249013902"
"p18_i0_t12","1","18","0","12","1","66","0.965575757575758","0.0353939393939394","0.023340730822645","0.016","0.0429609759350717"
"p18_i0_t12","1.5","18","0","12","1","66","1.42471212121212","0.0752878787878788","0.0363992029347943","0","0.0771078389346185"
"p18_i0_t12","2","18","0","12","1","66","1.91872727272727","0.0812727272727273","0.0465186653494629","0","0.0835986605402004"
"p18_i0_t12","2.5","18","0","12","1","66","2.42319696969697","0.0771363636363636","0.0578449389360404","0.0110000000000001","0.0844286105831657"
"p20_i0_t12","-2.5","20","0","12","1","66","-2.43813636363636","0.0630454545454546","0.049255636922032","0.0190000000000001","0.0731082363915562"
"p20_i0_t12","-2","20","0","12","1","66","-1.92209090909091","0.0882121212121212","0.244501268960748","0.073","0.129637184660159"
"p20_i0_t12","-1.5","20","0","12","1","66","-1.45928787878788","0.0429545454545455","0.0345975849356461","0.028","0.0558844247013278"
"p20_i0_t12","-1","20","0","12","1","66","-0.967318181818182","0.0356212121212121","0.0238309444178306","0.0329999999999999","0.0500127593421036"
"p20_i0_t12","-0.5","20","0","12","1","66","-0.487484848484848","0.025030303030303","0.0276050294189205","0.0669999999999999","0.053210554501249"
"p20_i0_t12","0.5","20","0","12","1","66","0.469606060606061","0.0855151515151515","0.153349954183617","0.261","0.197582649224332"
"p20_i0_t12","1","20","0","12","1","66","0.968015151515152","0.0340151515151515","0.0257790685730147","0.018","0.0425041049438023"
"p20_i0_t12","1.5","20","0","12","1","66","1.43407575757576","0.0659242424242424","0.0373039564909759","0","0.0677894402487912"
"p20_i0_t12","2","20","0","12","1","66","1.92522727272727","0.0747727272727273","0.0485298394475441","0","0.0771992192451045"
"p20_i0_t12","2.5","20","0","12","1","66","2.42706060606061","0.0734545454545454","0.0580284357639292","0.0169999999999999","0.0831559672427419"
"p22_i0_t12","-2.5","22","0","12","1","66","-2.44715151515151","0.0534848484848485","0.0462471104500275","0.00700000000000012","0.0585972040073499"
"p22_i0_t12","-2","22","0","12","1","66","-1.95889393939394","0.0458636363636363","0.0412777468802681","0.0299999999999998","0.0599275237076497"
"p22_i0_t12","-1.5","22","0","12","1","67","-1.44422388059702","0.0621343283582089","0.181558906266375","0.046","0.0896122736715277"
"p22_i0_t12","-1","22","0","12","1","66","-0.971287878787879","0.0303484848484849","0.0226252508116117","0.014","0.0370797473890654"
"p22_i0_t12","-0.5","22","0","12","1","66","-0.491409090909091","0.0206212121212121","0.0224391279422779","0.039","0.037343168518326"
"p22_i0_t12","0.5","22","0","12","1","66","0.496136363636364","0.0246818181818182","0.0298860899860729","0.056","0.0485761226811219"
"p22_i0_t12","1","22","0","12","1","67","0.955671641791045","0.067820895522388","0.177100307866921","0.219","0.164275910915734"
"p22_i0_t12","1.5","22","0","12","1","66","1.43928787878788","0.0607121212121212","0.0387469510634396","0","0.0626494687652932"
"p22_i0_t12","2","22","0","12","1","66","1.93477272727273","0.0654696969696969","0.0483502986279348","0.00599999999999978","0.0702872119010936"
"p22_i0_t12","2.5","22","0","12","1","66","2.44225757575758","0.0657727272727273","0.0671802890027029","0.0369999999999999","0.0839317417228624"
"p24_i0_t12","-2.5","24","0","12","1","66","-2.45168181818182","0.0491363636363636","0.0390396686721026","0.0139999999999998","0.0566883470699687"
"p24_i0_t12","-2","24","0","12","1","66","-1.96743939393939","0.0423787878787879","0.0443895048979738","0.0870000000000002","0.0793982631236866"
"p24_i0_t12","-1.5","24","0","12","1","65","-1.46732307692308","0.0393846153846154","0.0348730037497854","0.038","0.0563282655721046"
"p24_i0_t12","-1","24","0","12","1","66","-0.960878787878788","0.0651818181818182","0.13834142164943","0.219","0.15969888926429"
"p24_i0_t12","-0.5","24","0","12","1","66","-0.492424242424243","0.0272424242424242","0.032849547114659","0.085","0.0628849015981572"
"p24_i0_t12","0.5","24","0","12","1","66","0.491530303030303","0.0337424242424243","0.0421042068354399","0.155","0.0978476345841963"
"p24_i0_t12","1","24","0","12","1","66","0.970666666666667","0.0314545454545455","0.0234529402003332","0.022","0.0414271924645621"
"p24_i0_t12","1.5","24","0","12","1","66","1.40169696969697","0.11469696969697","0.257912304199478","0.208","0.210792584906944"
"p24_i0_t12","2","24","0","12","1","66","1.94640909090909","0.0548333333333333","0.0471894881953942","0.0310000000000001","0.0695928077431031"
"p24_i0_t12","2.5","24","0","12","1","66","2.46106060606061","0.0476363636363636","0.0432606192210683","0.0339999999999998","0.0633993945974169"
