time_ms,set,target_mps,kp,ki,trim_us,enable,vx_mps,vy_mps,vz_rad_s,battery_v,frame_hex
2871,p18_i0_t12,-2.500,18.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2902,p18_i0_t12,-2.500,18.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2952,p18_i0_t12,-2.500,18.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2993,p18_i0_t12,-2.500,18.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
3053,p18_i0_t12,-2.500,18.0,0.0,12,1,-0.003,0.000,0.000,12.064,7B 01 FF FD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 77 7D
3088,p18_i0_t12,-2.500,18.0,0.0,12,1,-0.003,0.000,0.000,12.064,7B 01 FF FD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 77 7D
3151,p18_i0_t12,-2.500,18.0,0.0,12,1,-0.978,0.000,0.000,12.064,7B 01 FC 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A7 7D
3202,p18_i0_t12,-2.500,18.0,0.0,12,1,-1.711,0.000,0.000,12.064,7B 01 F9 51 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 DD 7D
3243,p18_i0_t12,-2.500,18.0,0.0,12,1,-1.911,0.000,0.000,12.064,7B 01 F8 89 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 04 7D
3291,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.061,0.000,0.000,12.064,7B 01 F7 F3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 71 7D
3338,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.449,0.000,0.000,12.064,7B 01 F6 6F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 EC 7D
3403,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.322,0.000,0.000,12.064,7B 01 F6 EE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 6D 7D
3442,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.319,0.000,0.000,12.064,7B 01 F6 F1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 72 7D
3502,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.154,0.000,0.000,12.064,7B 01 F7 96 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 14 7D
3553,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.287,0.000,0.000,12.064,7B 01 F7 11 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 93 7D
3592,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.394,0.000,0.000,12.064,7B 01 F6 A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 25 7D
3656,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.392,0.000,0.000,12.064,7B 01 F6 A8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 2B 7D
3702,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.483,0.000,0.000,12.064,7B 01 F6 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CE 7D
3755,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.459,0.000,0.000,12.064,7B 01 F6 65 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 E6 7D
3802,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.415,0.000,0.000,12.055,7B 01 F6 91 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 25 7D
3853,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.422,0.000,0.000,12.064,7B 01 F6 8A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 09 7D
3902,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.392,0.000,0.000,12.064,7B 01 F6 A8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 2B 7D
3952,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.338,0.000,0.000,12.064,7B 01 F6 DE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 5D 7D
4008,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.444,0.000,0.000,12.064,7B 01 F6 74 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F7 7D
4051,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.448,0.000,0.000,12.064,7B 01 F6 70 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F3 7D
4104,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.419,0.000,0.000,12.064,7B 01 F6 8D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 0E 7D
4152,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.430,0.000,0.000,12.064,7B 01 F6 82 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 01 7D
4188,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.423,0.000,0.000,12.064,7B 01 F6 89 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 0A 7D
4244,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.348,0.000,0.000,12.064,7B 01 F6 D4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 57 7D
4291,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.464,0.000,0.000,12.064,7B 01 F6 60 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 E3 7D
4348,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.407,0.000,0.000,12.064,7B 01 F6 99 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 1A 7D
4403,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.444,0.000,0.000,12.064,7B 01 F6 74 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F7 7D
4443,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.447,0.000,0.000,12.064,7B 01 F6 71 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F2 7D
4502,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.439,0.000,0.000,12.064,7B 01 F6 79 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 FA 7D
4551,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.353,0.000,0.000,12.064,7B 01 F6 CF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 4C 7D
4604,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.469,0.000,0.000,12.064,7B 01 F6 5B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D8 7D
4640,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.387,0.000,0.000,12.064,7B 01 F6 AD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 2E 7D
4703,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.427,0.000,0.000,12.064,7B 01 F6 85 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 06 7D
