"SetName","Target","Kp","Ki","Trim","Enable","Samples","MeanVx","Mae","Std","Overshoot","Score"
"p20_i0_t10","-2.5","20","0","10","1","56","-2.43725","0.0769642857142857","0.0704351905756531","0.115","0.126486045243068"
"p20_i0_t10","-1.8","20","0","10","1","56","-1.75803571428571","0.044","0.0355607951691357","0.0249999999999999","0.0557780397584568"
"p20_i0_t10","-1.2","20","0","10","1","56","-1.15382142857143","0.04625","0.0248589644242253","0.002","0.0482929482212112"
"p20_i0_t10","-0.8","20","0","10","1","56","-0.792071428571429","0.0181785714285714","0.0218973719418378","0.0529999999999999","0.0404734400256633"
"p20_i0_t10","-0.5","20","0","10","1","56","-0.506071428571428","0.0268571428571429","0.047615970138651","0.144","0.0868379413640754"
"p20_i0_t10","-0.3","20","0","10","1","56","-0.272267857142857","0.0395892857142857","0.0400809409068648","0.028","0.052793332759629"
"p20_i0_t10","0.3","20","0","10","1","57","0.263210526315789","0.0579824561403509","0.0575901236787787","0.058","0.0840619623242898"
"p20_i0_t10","0.5","20","0","10","1","56","0.452","0.0505357142857143","0.0375014285442187","0.018","0.0596107857129252"
"p20_i0_t10","0.8","20","0","10","1","57","0.786649122807017","0.0183684210526316","0.0215882450373331","0.0309999999999999","0.0318478333044982"
"p20_i0_t10","1.2","20","0","10","1","56","1.14869642857143","0.0535178571428571","0.033585668522482","0.028","0.0663971405689812"
"p20_i0_t10","1.8","20","0","10","1","56","1.71810714285714","0.0818928571428572","0.0443825410378855","0","0.0841119841947515"
"p20_i0_t10","2.5","20","0","10","1","56","2.45173214285714","0.0537678571428571","0.0601918038652358","0.0390000000000001","0.0723774473361189"
"p20_i0_t12","-2.5","20","0","12","1","56","-2.44366071428571","0.0659107142857143","0.0561755147429256","0.073","0.0979194900228605"
"p20_i0_t12","-1.8","20","0","12","1","56","-1.75542857142857","0.0453214285714286","0.0356254609708809","0.00600000000000001","0.0495027016199727"
"p20_i0_t12","-1.2","20","0","12","1","56","-1.15235714285714","0.0487142857142857","0.0299138218001959","0.0150000000000001","0.0562099768042955"
"p20_i0_t12","-0.8","20","0","12","1","56","-0.786071428571428","0.02125","0.0230247205216923","0.0269999999999999","0.0332012360260846"
"p20_i0_t12","-0.5","20","0","12","1","56","-0.498375","0.015125","0.018926136972829","0.044","0.0336713068486415"
"p20_i0_t12","-0.3","20","0","12","1","56","-0.273410714285714","0.0349464285714285","0.0350671686022055","0.033","0.0498997870015388"
"p20_i0_t12","0.3","20","0","12","1","56","0.271017857142857","0.0446964285714286","0.0472718169856253","0.039","0.0626600194207099"
"p20_i0_t12","0.5","20","0","12","1","57","0.495842105263158","0.0307894736842105","0.0373409090717501","0.084","0.066256519137798"
"p20_i0_t12","0.8","20","0","12","1","56","0.785857142857143","0.0217142857142857","0.0225645333048416","0.0369999999999999","0.0376425123795278"
"p20_i0_t12","1.2","20","0","12","1","56","1.14403571428571","0.0559642857142857","0.0321675103868763","0","0.0575726612336295"
"p20_i0_t12","1.8","20","0","12","1","57","1.72043859649123","0.0795614035087719","0.0410186168875","0","0.0816123343531469"
"p20_i0_t12","2.5","20","0","12","1","56","2.454","0.0512142857142857","0.0599636794830242","0.0489999999999999","0.0738124696884369"
"p20_i0_t14","-2.5","20","0","14","1","56","-2.45696428571429","0.053","0.0525523427117174","0.0409999999999999","0.0720276171355858"
"p20_i0_t14","-1.8","20","0","14","1","56","-1.69425","0.113142857142857","0.329112890423419","0.075","0.159598501664028"
"p20_i0_t14","-1.2","20","0","14","1","56","-1.15528571428571","0.0447857142857143","0.025146509474985","0.002","0.0468430397594635"
"p20_i0_t14","-0.8","20","0","14","1","56","-0.789589285714286","0.0150535714285714","0.018333981706222","0.0149999999999999","0.0219702705138825"
"p20_i0_t14","-0.5","20","0","14","1","57","-0.496526315789474","0.0168771929824562","0.0203168802543279","0.033","0.0310930369951726"
"p20_i0_t14","-0.3","20","0","14","1","56","-0.274178571428571","0.0270714285714286","0.0257987452234026","0.00700000000000001","0.0311613658325987"
"p20_i0_t14","0.3","20","0","14","1","56","0.282410714285714","0.0254821428571428","0.0337166643758343","0.037","0.0419679760759346"
"p20_i0_t14","0.5","20","0","14","1","56","0.494910714285714","0.025375","0.0288915934298953","0.05","0.0468195796714948"
"p20_i0_t14","0.8","20","0","14","1","56","0.794892857142857","0.0197142857142857","0.022176788518169","0.0289999999999999","0.0324231251401941"
"p20_i0_t14","1.2","20","0","14","1","56","1.16026785714286","0.0399464285714285","0.0259157226625547","0.00600000000000001","0.0436422147045563"
"p20_i0_t14","1.8","20","0","14","1","56","1.72658928571429","0.0734107142857143","0.0419514075984322","0","0.0755082846656359"
"p20_i0_t14","2.5","20","0","14","1","56","2.47041071428571","0.0370535714285714","0.0376842032013199","0.0529999999999999","0.0601377815886374"
"p20_i0_t16","-2.5","20","0","16","1","56","-2.47871428571429","0.0380714285714285","0.052678510895849","0.0569999999999999","0.0635053541162209"
