time_ms,set,target_mps,kp,ki,trim_us,enable,vx_mps,vy_mps,vz_rad_s,battery_v,frame_hex
2826,p20_i0_t10,-2.500,20.0,0.0,10,1,0.000,0.000,0.000,12.055,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 42 7D
2874,p20_i0_t10,-2.500,20.0,0.0,10,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2927,p20_i0_t10,-2.500,20.0,0.0,10,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2975,p20_i0_t10,-2.500,20.0,0.0,10,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
3027,p20_i0_t10,-2.500,20.0,0.0,10,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
3078,p20_i0_t10,-2.500,20.0,0.0,10,1,-1.145,0.000,0.000,12.064,7B 01 FB 87 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 09 7D
3128,p20_i0_t10,-2.500,20.0,0.0,10,1,-1.571,0.000,0.000,12.064,7B 01 F9 DD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 51 7D
3174,p20_i0_t10,-2.500,20.0,0.0,10,1,-1.765,0.000,0.000,12.064,7B 01 F9 1B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 97 7D
3224,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.256,0.000,0.000,12.064,7B 01 F7 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B2 7D
3275,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.261,0.000,0.000,12.064,7B 01 F7 2B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A9 7D
3328,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.211,0.000,0.000,12.055,7B 01 F7 5D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 E8 7D
3376,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.203,0.000,0.000,12.064,7B 01 F7 65 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 E7 7D
3426,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.399,0.000,0.000,12.064,7B 01 F6 A1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 22 7D
3473,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.435,0.000,0.000,12.064,7B 01 F6 7D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 FE 7D
3526,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.381,0.000,0.000,12.055,7B 01 F6 B3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 07 7D
3575,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.512,0.000,0.000,12.064,7B 01 F6 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B3 7D
3626,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.411,0.000,0.000,12.064,7B 01 F6 95 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 16 7D
3677,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.397,0.000,0.000,12.064,7B 01 F6 A3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 20 7D
3727,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.390,0.000,0.000,12.064,7B 01 F6 AA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 29 7D
3772,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.381,0.000,0.000,12.064,7B 01 F6 B3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 30 7D
3825,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.345,0.000,0.000,12.064,7B 01 F6 D7 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 54 7D
3877,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.538,0.000,0.000,12.064,7B 01 F6 16 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 95 7D
3925,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.473,0.000,0.000,12.064,7B 01 F6 57 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D4 7D
3975,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.552,0.000,0.000,12.064,7B 01 F6 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 8B 7D
4025,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.521,0.000,0.000,12.064,7B 01 F6 27 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A4 7D
4068,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.446,0.000,0.000,12.064,7B 01 F6 72 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F1 7D
4124,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.308,0.000,0.000,12.064,7B 01 F6 FC 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 7F 7D
4183,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.413,0.000,0.000,12.064,7B 01 F6 93 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 10 7D
4225,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.344,0.000,0.000,12.064,7B 01 F6 D8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 5B 7D
4273,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.437,0.000,0.000,12.064,7B 01 F6 7B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F8 7D
4326,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.376,0.000,0.000,12.064,7B 01 F6 B8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 3B 7D
4390,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.570,0.000,0.000,12.064,7B 01 F5 F6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 76 7D
4423,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.448,0.000,0.000,12.055,7B 01 F6 70 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 C4 7D
4476,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.550,0.000,0.000,12.064,7B 01 F6 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 89 7D
4525,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.379,0.000,0.000,12.064,7B 01 F6 B5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 36 7D
4575,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.357,0.000,0.000,12.064,7B 01 F6 CB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 48 7D
4624,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.277,0.000,0.000,12.064,7B 01 F7 1B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 99 7D
4675,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.409,0.000,0.000,12.064,7B 01 F6 97 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 14 7D
4715,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.397,0.000,0.000,12.064,7B 01 F6 A3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 20 7D
4775,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.615,0.000,0.000,12.064,7B 01 F5 C9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 49 7D
4826,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.487,0.000,0.000,12.064,7B 01 F6 49 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CA 7D
4876,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.477,0.000,0.000,12.064,7B 01 F6 53 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D0 7D
4924,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.331,0.000,0.000,12.064,7B 01 F6 E5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 66 7D
4977,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.384,0.000,0.000,12.064,7B 01 F6 B0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 33 7D
5026,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.360,0.000,0.000,12.064,7B 01 F6 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 4B 7D
5076,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.461,0.000,0.000,12.064,7B 01 F6 63 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 E0 7D
5124,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.408,0.000,0.000,12.064,7B 01 F6 98 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 1B 7D
5175,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.560,0.000,0.000,12.064,7B 01 F6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 83 7D
5241,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.408,0.000,0.000,12.064,7B 01 F6 98 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 1B 7D
5274,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.494,0.000,0.000,12.064,7B 01 F6 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 C1 7D
5328,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.432,0.000,0.000,12.064,7B 01 F6 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 03 7D
5365,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.441,0.000,0.000,12.064,7B 01 F6 77 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F4 7D
5429,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.350,0.000,0.000,12.064,7B 01 F6 D2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 51 7D
5477,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.434,0.000,0.000,12.064,7B 01 F6 7E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 FD 7D
5526,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.335,0.000,0.000,12.064,7B 01 F6 E1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 62 7D
5576,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.520,0.000,0.000,12.064,7B 01 F6 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 AB 7D
5627,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.473,0.000,0.000,12.064,7B 01 F6 57 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D4 7D
5677,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.530,0.000,0.000,12.064,7B 01 F6 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 9D 7D
5726,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.409,0.000,0.000,12.064,7B 01 F6 97 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 14 7D
5778,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.478,0.000,0.000,12.064,7B 01 F6 52 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D1 7D
5825,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.341,0.000,0.000,12.064,7B 01 F6 DB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 58 7D
5875,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.450,0.000,0.000,12.055,7B 01 F6 6E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 DA 7D
5916,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.414,0.000,0.000,12.064,7B 01 F6 92 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 11 7D
5974,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.503,0.000,0.000,12.064,7B 01 F6 39 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 BA 7D
6026,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.410,0.000,0.000,12.064,7B 01 F6 96 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 15 7D
6079,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.500,0.000,0.000,12.064,7B 01 F6 3C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 BF 7D
6124,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.379,0.000,0.000,12.064,7B 01 F6 B5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 36 7D
6175,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.482,0.000,0.000,12.064,7B 01 F6 4E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CD 7D
6219,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.448,0.000,0.000,12.064,7B 01 F6 70 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F3 7D
6274,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.520,0.000,0.000,12.055,7B 01 F6 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 9C 7D
6329,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.416,0.000,0.000,12.064,7B 01 F6 90 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 13 7D
6374,p20_i0_t10,-2.500,20.0,0.0,10,1,-2.496,0.000,0.000,12.064,7B 01 F6 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 C3 7D
