time_ms,set,target_mps,kp,ki,trim_us,enable,vx_mps,vy_mps,vz_rad_s,battery_v,frame_hex
2124,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.055,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 42 7D
2177,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2228,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2268,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.055,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 42 7D
2328,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2377,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2427,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2476,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2524,openloop,0.500,10.0,3.0,12,0,0.390,0.000,0.000,12.055,7B 01 01 86 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 C5 7D
2596,openloop,0.500,10.0,3.0,12,0,0.390,0.000,0.000,12.064,7B 01 01 86 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F2 7D
2627,openloop,0.500,10.0,3.0,12,0,0.390,0.000,0.000,12.064,7B 01 01 86 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F2 7D
2676,openloop,0.500,10.0,3.0,12,0,0.390,0.000,0.000,12.064,7B 01 01 86 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F2 7D
2728,openloop,0.500,10.0,3.0,12,0,0.442,0.000,0.000,12.064,7B 01 01 BA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CE 7D
2765,openloop,0.500,10.0,3.0,12,0,0.442,0.000,0.000,12.064,7B 01 01 BA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CE 7D
2829,openloop,0.500,10.0,3.0,12,0,0.442,0.000,0.000,12.064,7B 01 01 BA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CE 7D
2877,openloop,0.500,10.0,3.0,12,0,0.477,0.000,0.000,12.073,7B 01 01 DD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 29 A0 7D
2929,openloop,0.500,10.0,3.0,12,0,0.477,0.000,0.000,12.064,7B 01 01 DD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A9 7D
2970,openloop,0.500,10.0,3.0,12,0,0.477,0.000,0.000,12.055,7B 01 01 DD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 9E 7D
3029,openloop,0.500,10.0,3.0,12,0,0.453,0.000,0.000,12.064,7B 01 01 C5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B1 7D
3078,openloop,0.500,10.0,3.0,12,0,0.453,0.000,0.000,12.055,7B 01 01 C5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 86 7D
3129,openloop,0.500,10.0,3.0,12,0,0.453,0.000,0.000,12.064,7B 01 01 C5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B1 7D
3177,openloop,0.500,10.0,3.0,12,0,0.444,0.000,0.000,12.064,7B 01 01 BC 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 C8 7D
3217,openloop,0.500,10.0,3.0,12,0,0.444,0.000,0.000,12.055,7B 01 01 BC 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 FF 7D
3277,openloop,0.500,10.0,3.0,12,0,0.444,0.000,0.000,12.064,7B 01 01 BC 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 C8 7D
3328,openloop,0.500,10.0,3.0,12,0,0.477,0.000,0.000,12.064,7B 01 01 DD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A9 7D
3379,openloop,0.500,10.0,3.0,12,0,0.477,0.000,0.000,12.064,7B 01 01 DD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A9 7D
3430,openloop,0.500,10.0,3.0,12,0,0.477,0.000,0.000,12.064,7B 01 01 DD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A9 7D
3477,openloop,0.500,10.0,3.0,12,0,0.483,0.000,0.000,12.055,7B 01 01 E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 A0 7D
3521,openloop,0.500,10.0,3.0,12,0,0.483,0.000,0.000,12.064,7B 01 01 E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 97 7D
3578,openloop,0.500,10.0,3.0,12,0,0.483,0.000,0.000,12.064,7B 01 01 E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 97 7D
3626,openloop,0.500,10.0,3.0,12,0,0.483,0.000,0.000,12.055,7B 01 01 E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 A0 7D
3673,openloop,0.500,10.0,3.0,12,0,0.483,0.000,0.000,12.064,7B 01 01 E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 97 7D
3722,openloop,0.500,10.0,3.0,12,0,0.483,0.000,0.000,12.064,7B 01 01 E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 97 7D
3779,openloop,0.500,10.0,3.0,12,0,0.483,0.000,0.000,12.064,7B 01 01 E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 97 7D
3829,openloop,0.500,10.0,3.0,12,0,0.458,0.000,0.000,12.064,7B 01 01 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 BE 7D
3878,openloop,0.500,10.0,3.0,12,0,0.458,0.000,0.000,12.055,7B 01 01 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 89 7D
3927,openloop,0.500,10.0,3.0,12,0,0.458,0.000,0.000,12.064,7B 01 01 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 BE 7D
3981,openloop,0.500,10.0,3.0,12,0,0.417,0.000,0.000,12.064,7B 01 01 A1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D5 7D
4039,openloop,0.500,10.0,3.0,12,0,0.417,0.000,0.000,12.064,7B 01 01 A1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D5 7D
4079,openloop,0.500,10.0,3.0,12,0,0.417,0.000,0.000,12.055,7B 01 01 A1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 E2 7D
4126,openloop,0.500,10.0,3.0,12,0,0.467,0.000,0.000,12.064,7B 01 01 D3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A7 7D
4176,openloop,0.500,10.0,3.0,12,0,0.467,0.000,0.000,12.064,7B 01 01 D3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A7 7D
4216,openloop,0.500,10.0,3.0,12,0,0.467,0.000,0.000,12.064,7B 01 01 D3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A7 7D
4276,openloop,0.500,10.0,3.0,12,0,0.467,0.000,0.000,12.064,7B 01 01 D3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A7 7D
4326,openloop,0.500,10.0,3.0,12,0,0.451,0.000,0.000,12.064,7B 01 01 C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B7 7D
4377,openloop,0.500,10.0,3.0,12,0,0.451,0.000,0.000,12.064,7B 01 01 C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B7 7D
4425,openloop,0.500,10.0,3.0,12,0,0.451,0.000,0.000,12.064,7B 01 01 C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B7 7D
4478,openloop,0.500,10.0,3.0,12,0,0.464,0.000,0.000,12.064,7B 01 01 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A4 7D
4526,openloop,0.500,10.0,3.0,12,0,0.464,0.000,0.000,12.064,7B 01 01 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A4 7D
4590,openloop,0.500,10.0,3.0,12,0,0.464,0.000,0.000,12.064,7B 01 01 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A4 7D
6235,openloop,1.000,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
6266,openloop,1.000,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
6328,openloop,1.000,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
6384,openloop,1.000,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
6425,openloop,1.000,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
6477,openloop,1.000,10.0,3.0,12,0,0.044,0.000,0.000,12.064,7B 01 00 2C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 59 7D
6525,openloop,1.000,10.0,3.0,12,0,0.044,0.000,0.000,12.064,7B 01 00 2C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 59 7D
6576,openloop,1.000,10.0,3.0,12,0,0.754,0.000,0.000,12.064,7B 01 02 F2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 85 7D
6626,openloop,1.000,10.0,3.0,12,0,0.754,0.000,0.000,12.064,7B 01 02 F2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 85 7D
6675,openloop,1.000,10.0,3.0,12,0,0.778,0.000,0.000,12.064,7B 01 03 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 7C 7D
6725,openloop,1.000,10.0,3.0,12,0,0.778,0.000,0.000,12.055,7B 01 03 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 4B 7D
6770,openloop,1.000,10.0,3.0,12,0,0.804,0.000,0.000,12.064,7B 01 03 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 52 7D
6817,openloop,1.000,10.0,3.0,12,0,0.801,0.000,0.000,12.064,7B 01 03 21 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 57 7D
6875,openloop,1.000,10.0,3.0,12,0,0.801,0.000,0.000,12.064,7B 01 03 21 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 57 7D
6926,openloop,1.000,10.0,3.0,12,0,0.920,0.000,0.000,12.064,7B 01 03 98 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 EE 7D
6978,openloop,1.000,10.0,3.0,12,0,0.920,0.000,0.000,12.064,7B 01 03 98 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 EE 7D
7026,openloop,1.000,10.0,3.0,12,0,0.883,0.000,0.000,12.064,7B 01 03 73 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 05 7D
7094,openloop,1.000,10.0,3.0,12,0,0.896,0.000,0.000,12.064,7B 01 03 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F6 7D
7127,openloop,1.000,10.0,3.0,12,0,0.896,0.000,0.000,12.064,7B 01 03 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F6 7D
7176,openloop,1.000,10.0,3.0,12,0,0.832,0.000,0.000,12.064,7B 01 03 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 36 7D
7228,openloop,1.000,10.0,3.0,12,0,0.832,0.000,0.000,12.064,7B 01 03 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 36 7D
7267,openloop,1.000,10.0,3.0,12,0,0.876,0.000,0.000,12.055,7B 01 03 6C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 2D 7D
7345,openloop,1.000,10.0,3.0,12,0,0.876,0.000,0.000,12.064,7B 01 03 6C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 1A 7D
7380,openloop,1.000,10.0,3.0,12,0,0.907,0.000,0.000,12.064,7B 01 03 8B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 FD 7D
7430,openloop,1.000,10.0,3.0,12,0,0.906,0.000,0.000,12.064,7B 01 03 8A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 FC 7D
7480,openloop,1.000,10.0,3.0,12,0,0.906,0.000,0.000,12.073,7B 01 03 8A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 29 F5 7D
7519,openloop,1.000,10.0,3.0,12,0,0.880,0.000,0.000,12.064,7B 01 03 70 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 06 7D
7593,openloop,1.000,10.0,3.0,12,0,0.883,0.000,0.000,12.064,7B 01 03 73 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 05 7D
7627,openloop,1.000,10.0,3.0,12,0,0.883,0.000,0.000,12.064,7B 01 03 73 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 05 7D
7675,openloop,1.000,10.0,3.0,12,0,0.846,0.000,0.000,12.064,7B 01 03 4E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 38 7D
7726,openloop,1.000,10.0,3.0,12,0,0.846,0.000,0.000,12.064,7B 01 03 4E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 38 7D
7771,openloop,1.000,10.0,3.0,12,0,0.923,0.000,0.000,12.064,7B 01 03 9B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 ED 7D
7835,openloop,1.000,10.0,3.0,12,0,0.923,0.000,0.000,12.064,7B 01 03 9B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 ED 7D
7876,openloop,1.000,10.0,3.0,12,0,0.877,0.000,0.000,12.064,7B 01 03 6D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 1B 7D
7929,openloop,1.000,10.0,3.0,12,0,0.878,0.000,0.000,12.073,7B 01 03 6E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 29 11 7D
7976,openloop,1.000,10.0,3.0,12,0,0.878,0.000,0.000,12.064,7B 01 03 6E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 18 7D
8018,openloop,1.000,10.0,3.0,12,0,0.857,0.000,0.000,12.064,7B 01 03 59 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 2F 7D
8067,openloop,1.000,10.0,3.0,12,0,0.857,0.000,0.000,12.064,7B 01 03 59 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 2F 7D
8127,openloop,1.000,10.0,3.0,12,0,0.910,0.000,0.000,12.064,7B 01 03 8E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F8 7D
8176,openloop,1.000,10.0,3.0,12,0,0.912,0.000,0.000,12.064,7B 01 03 90 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 E6 7D
8219,openloop,1.000,10.0,3.0,12,0,0.912,0.000,0.000,12.064,7B 01 03 90 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 E6 7D
8266,openloop,1.000,10.0,3.0,12,0,0.897,0.000,0.000,12.064,7B 01 03 81 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F7 7D
8324,openloop,1.000,10.0,3.0,12,0,0.881,0.000,0.000,12.064,7B 01 03 71 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 07 7D
8377,openloop,1.000,10.0,3.0,12,0,0.881,0.000,0.000,12.064,7B 01 03 71 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 07 7D
8425,openloop,1.000,10.0,3.0,12,0,0.900,0.000,0.000,12.064,7B 01 03 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F2 7D
8476,openloop,1.000,10.0,3.0,12,0,0.900,0.000,0.000,12.064,7B 01 03 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F2 7D
8517,openloop,1.000,10.0,3.0,12,0,0.854,0.000,0.000,12.064,7B 01 03 56 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 20 7D
8576,openloop,1.000,10.0,3.0,12,0,0.897,0.000,0.000,12.064,7B 01 03 81 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F7 7D
8625,openloop,1.000,10.0,3.0,12,0,0.897,0.000,0.000,12.064,7B 01 03 81 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F7 7D
8674,openloop,1.000,10.0,3.0,12,0,0.846,0.000,0.000,12.064,7B 01 03 4E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 38 7D
8725,openloop,1.000,10.0,3.0,12,0,0.846,0.000,0.000,12.064,7B 01 03 4E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 38 7D
10277,openloop,2.000,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
10344,openloop,2.000,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
10381,openloop,2.000,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
10424,openloop,2.000,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
10476,openloop,2.000,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
10521,openloop,2.000,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
10579,openloop,2.000,10.0,3.0,12,0,1.156,0.000,0.000,12.064,7B 01 04 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F5 7D
10626,openloop,2.000,10.0,3.0,12,0,1.349,0.000,0.000,12.064,7B 01 05 45 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 35 7D
10677,openloop,2.000,10.0,3.0,12,0,1.361,0.000,0.000,12.055,7B 01 05 51 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 16 7D
10727,openloop,2.000,10.0,3.0,12,0,1.248,0.000,0.000,12.064,7B 01 04 E0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 91 7D
10777,openloop,2.000,10.0,3.0,12,0,1.368,0.000,0.000,12.055,7B 01 05 58 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 1F 7D
10842,openloop,2.000,10.0,3.0,12,0,1.434,0.000,0.000,12.055,7B 01 05 9A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 DD 7D
10875,openloop,2.000,10.0,3.0,12,0,1.602,0.000,0.000,12.064,7B 01 06 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 31 7D
10927,openloop,2.000,10.0,3.0,12,0,1.544,0.000,0.000,12.064,7B 01 06 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 7B 7D
10969,openloop,2.000,10.0,3.0,12,0,1.601,0.000,0.000,12.064,7B 01 06 41 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 32 7D
11015,openloop,2.000,10.0,3.0,12,0,1.588,0.000,0.000,12.055,7B 01 06 34 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 70 7D
