"SetName","Target","Kp","Ki","Trim","Enable","Samples","MeanVx","Mae","Std","Overshoot","Score"
"openloop","0.5","10","3","12","0","34","0.461617647058824","0.0383823529411765","0.0188024008258682","0","0.0393224729824699"
"openloop","1","10","3","12","0","34","0.882088235294117","0.117911764705882","0.0253172431905247","0","0.119177626865409"
"openloop","2","10","3","12","0","35","1.68911428571429","0.310885714285714","0.0475861753204925","0","0.313265023051739"
"p25_i4_t20","0.5","25","4","20","1","34","0.469941176470588","0.053","0.0637840756341132","0.077","0.0869892037817056"
"p25_i4_t20","1","25","4","20","1","34","0.876617647058824","0.123382352941176","0.0519388864327628","0","0.125979297262815"
"p25_i4_t20","2","25","4","20","1","34","1.257","0.743","0.0607734462138349","0","0.746038672310692"
"p40_i6_t30","0.5","40","6","30","1","35","0.516828571428572","0.335342857142857","0.360785847498349","0.469","0.540982149517774"
"p40_i6_t30","1","40","6","30","1","34","0.773382352941177","0.291029411764706","0.348467064415992","0.369","0.456052764985505"
"p40_i6_t30","2","40","6","30","1","34","1.23241176470588","0.767588235294118","0.161972604373314","0","0.775686865512784"
"p60_i8_t40","0.5","60","8","40","1","34","0.563823529411765","0.207235294117647","0.242130187464638","0.429","0.390941803490879"
"p60_i8_t40","1","60","8","40","1","34","0.938323529411765","0.267794117647059","0.32276459465687","0.544","0.501532347379902"
"p60_i8_t40","2","60","8","40","1","35","1.2234","0.7766","0.286665579178447","0","0.790933278958922"
"p80_i10_t50","0.5","80","10","50","1","34","0.845705882352941","0.355176470588235","0.314725326502124","0.924","0.740512736913342"
"p80_i10_t50","1","80","10","50","1","34","0.966970588235294","0.339617647058824","0.394721158861031","0.712","0.644153705001875"
"p80_i10_t50","2","80","10","50","1","34","1.35038235294118","0.649617647058824","0.297184337199686","0","0.664476863918808"
